Организация,Номер пункта договора,Содержание пункта договора
"АО ""Глория Джинс""",3.2.,"3.2. Товар, представленный в Интернет-магазине частично соответствует нормам и требованиям законодательства Российской Федерации. "
"АО ""Глория Джинс""",3.3.,"3.3. Сопровождающие Товар фотографии могут отличаться от фактического внешнего вида Товара. Качество, настройки и особенности экрана устройства Пользователя могут искажать цветовую гамму представленного Товара. Товар может иметь незначительные отличия от изображения, представленного на Сайте, по цвету, форме, размеру или другим параметрам. Любые характеристики Товаров могут быть изменены изготовителем Товара без предварительного уведомления."
"АО ""Глория Джинс""",3.4.,"3.4. Покупатель имеет право обратиться в службу поддержки Интернет-магазина за дополнительной информацией о заинтересовавшем его Товаре. По просьбе Покупателя Продавец обязан предоставить (по телефону или посредством электронной почты) прочую информацию, необходимую и достаточную, с точки зрения Покупателя, для принятия им решения о покупке Товара."
"АО ""Глория Джинс""",3.5.,3.5. Товар в Интернет-магазине сопровождает следующая информация:
"АО ""Глория Джинс""",3.5.1.,3.5.1. об основных потребительских свойствах Товара;
"АО ""Глория Джинс""",3.5.2.,3.5.2. о цене Товара;
"АО ""Глория Джинс""",3.5.3.,3.5.3. об условиях приобретения Товара.
"АО ""Глория Джинс""",3.6.,"3.6. Наличие Товаров, представленных в каталоге Интернет-магазина, определяется индивидуальным статусом Товара, отображаемым на странице этого Товара в Интернет-магазине."
"АО ""Глория Джинс""",3.7.,"3.7. Цена Товара указывается в рублях Российской Федерации и включает в себя налог на добавленную стоимость (НДС). Настоящим Покупатель уведомлен, что продажа Товара в Интернет-магазине осуществляется в реальном времени (круглосуточно) и подразумевает изменение цены и его наличия без предварительного уведомления об этом. В связи с этим Товар резервируется за Покупателем только после обработки Заказа Интернет-магазином."
"АО ""Глория Джинс""",3.8.,3.8. Окончательная цена Товара может быть уменьшена по инициативе Покупателя за счёт применения скидок при соблюдении условий рекламных акций Продавца и/или в соответствии с условиями Программы лояльности.
"АО ""Глория Джинс""",3.9.,3.9. Для уточнения информации о Товаре Покупатель может обратиться в Службу клиентской поддержки по телефону: 8 (800) 500-82-82 с 8:00 до 21:00 по московскому времени.
"АО ""Глория Джинс""",3.10.,3.10. Оформление Заказа через Интернет-магазин происходит только после регистрации Пользователя в целях надлежащего уведомления Пользователя об условиях Публичной оферты и о Правилах пользования сайтом и обработки персональных данных.
"АО ""Глория Джинс""",3.11.,"3.11. Пользователь может иметь на Сайте только 1 (один) один Личный кабинет, привязанный к 1 (одному) адресу электронной почты и/или номеру телефона."
"АО ""Глория Джинс""",3.12.,"3.12. Пользователь, зарегистрировавшийся на Сайте, получает индивидуальную идентификацию путём предоставления доступа к Личному кабинету. Индивидуальная идентификация Пользователя позволяет избежать несанкционированных действий третьих лиц от имени Пользователя и открывает доступ к дополнительным сервисам Сайта."
"АО ""Глория Джинс""",3.13.,"3.13. Для регистрации Пользователь обязуется предоставить информацию о себе по вопросам, предлагаемым в форме регистрации, и поддерживать эту информацию в актуальном состоянии. Если Пользователь предоставляет неверную информацию или у Продавца есть основания полагать, что предоставленная Пользователем информация неполна или недостоверна, Продавец имеет право по своему усмотрению заблокировать либо удалить учётную запись Пользователя и отказать Пользователю в использовании своих сервисов (либо их отдельных функций)."
"АО ""Глория Джинс""",3.14.,"3.14. Персональная информация Пользователя, содержащаяся в учётной записи Пользователя, хранится и обрабатывается Продавцом в соответствии с Правилами пользования сайтом и обработки персональных данных.."
"АО ""Глория Джинс""",3.15.,3.15. Приобретение Товара может быть осуществлено Покупателем способами:
"АО ""Глория Джинс""",3.15.1.,"3.15.1. самостоятельным помещением Товара в «Корзину», заполнением формы Заказа;"
"АО ""Глория Джинс""",3.15.2.,3.15.2. звонком на номер 8 (800) 500-82-82 в Службу поддержки с указанием Товара и предпочтительных условий его приобретения.
"АО ""Глория Джинс""",3.16.,3.16. При технической возможности при оформлении Заказа Покупатель получает возможность получения email-рассылки и SMS от Продавца о статусе Заказа.
"АО ""Глория Джинс""",3.17.,"3.17. После оформления Заказа Покупателю предоставляется информация о предполагаемой дате доставки Заказа Покупателю или дате доставки Заказа в выбранный Покупателем пункт самовывоза, если Покупателем при оформлении Заказа выбран самовывоз, путём направления SMS на номер телефона Покупателя и/или email-адрес, указанного при оформлении Заказа, или по телефону, на усмотрение Продавца."
"АО ""Глория Джинс""",3.18.,"3.18. В случае отсутствия заказанных Покупателем Товаров на складе Продавца последний вправе исключить указанный Товар из Заказа Покупателя. В данном случае Покупатель вправе отказаться от Заказа полностью либо частично. При онлайн-оплате Покупателем Заказа в случае полного или частичного отказа от Заказа Покупателю возвращается его стоимость на счёт, с которого производилась оплата."
"АО ""Глория Джинс""",#N/A,
"АО ""Глория Джинс""",4.,4. Доставка или получение Заказа
"АО ""Глория Джинс""",4.1.,"4.1. Продавец предлагает услуги по доставке Заказов. Способ доставки, сроки доставки и стоимость услуг по доставке указаны на Сайте в разделе «Условия доставки»."
"АО ""Глория Джинс""",4.2.,"4.2. Стоимость доставки рассчитывается индивидуально (исходя из региона, суммы покупки и пр.). Итоговая стоимость Заказа сообщается Покупателю на странице оформления Заказа на Сайте, в email-уведомлении о совершении Заказа."
"АО ""Глория Джинс""",4.3.,4.3. Территории доставки Заказа представлены на Сайте и ограничены пределами Российской Федерации.
"АО ""Глория Джинс""",4.4.,"4.4. Интернет-магазин вправе доставить Заказ с привлечением услуг третьих лиц, оставаясь ответственным за надлежащее выполнение своих обязательств."
"АО ""Глория Джинс""",4.5.,"4.5. При доставке Заказ вручается Покупателю либо третьему лицу, указанному в Заказе в качестве Получателя (далее по данному разделу Покупатель и третье лицо именуются «Получатель»)."
"АО ""Глория Джинс""",4.6.,"4.6. При невозможности получения Заказа Получателем, в соответствии с которым выбран способ оплаты как оплата наличными при получении Заказа, Заказ может быть вручен лицу, которое может предоставить сведения о номере Заказа и оплатить стоимость Заказа в полном объёме."
"АО ""Глория Джинс""",4.7.,"4.7. При вручении предоплаченного Заказа в целях предотвращения случаев мошенничества лицо, осуществляющее вручение Заказа, имеет право потребовать документы, удостоверяющие личность Получателя. При этом Интернет-магазин не несет ответсвенности за конфиденциальность и защиту персональных данных Получателя."
"АО ""Глория Джинс""",4.8.,"4.8. В момент приёмки Заказа Получатель обязан проверить целостность упаковки. Если упаковка повреждена и есть риск повреждения Заказа, находящегося внутри, возможен отказ от Заказа. Риск случайной гибели или случайного повреждения Товара в Заказе переходит к Покупателю с момента передачи ему Заказа и проставления Получателем подписи в документах, подтверждающих получение Заказа."
"АО ""Глория Джинс""",4.9.,"4.9. При способе доставки Заказа курьером время нахождения курьеров, доставляющих Заказ Получателю, как и все взаиморасчёты с курьером, ограничено 15 минутами ожидания Получателя после сообщения курьером Получателю о прибытии к месту доставки Заказа."
"АО ""Глория Джинс""",#N/A,
"АО ""Глория Джинс""",5.,5. Оплата Заказа
"АО ""Глория Джинс""",5.1.,5.1. Оплата Заказа производится онлайн или наличными при получении Заказа.
"АО ""Глория Джинс""",5.2.,5.2. Особенности оплаты Заказа с помощью банковских карт:
"АО ""Глория Джинс""",5.2.1.,"5.2.1. В соответствии с положением ЦБ РФ «Об эмиссии банковских карт и об операциях, совершаемых с использованием платёжных карт» от 24.12.2004 № 266-П, операции по банковским картам совершаются держателем карты либо уполномоченным им лицом (п. 4 ст. 847 ГК РФ)."
"АО ""Глория Джинс""",5.2.2.,"5.2.2. Авторизация операций по банковским картам осуществляется банком. Если у банка есть основания полагать, что операция носит мошеннический характер, то банк вправе отказать в осуществлении данной операции. Мошеннические операции с банковскими картами попадают под действие статьи 159 Уголовного Кодекса Российской Федерации."
"АО ""Глория Джинс""",5.2.3.,"5.2.3. При совершении онлайн-оплаты Заказа Продавец направляет Покупателю электронную форму чека на адрес электронной почты Покупателя, который был указан при оформлении Заказа."
"АО ""Глория Джинс""",#N/A,
"АО ""Глория Джинс""",6.,"6. Отказ от Заказа, возврат Заказа и денежных средств"
"АО ""Глория Джинс""",6.1.,"6.1. Покупатель вправе отказаться от Заказа в порядке и в сроки, указанные в разделе Сайта «Правила обмена и возврата»."
"АО ""Глория Джинс""",6.2.,"6.2. Возврат Товара надлежащего качества возможен в случае, если сохранены его товарный вид, потребительские свойства, а также документ, подтверждающий факт и условия покупки указанного Товара. Отсутствие у Покупателя указанного документа не лишает его возможности ссылаться на другие доказательства приобретения Товара у данного Продавца."
"АО ""Глория Джинс""",6.3.,"6.3. При получении Заказа Покупатель должен убедиться в целостности внешней упаковки посылки и отсутствии на ней механических повреждений. При обнаружении вышеуказанных дефектов необходимо совместно с лицом, осуществляющим вручение Заказа, составить акт о повреждениях и произвести вскрытие и проверку Заказа, после чего зафиксировать все нарушения в акте. После проверки Покупатель вправе выкупить посылку или отказаться от неё."
"АО ""Глория Джинс""",6.4.,"6.4. При отказе Покупателя от Заказа Продавец не обязан возвратить ему уплаченную за Заказ сумму, Покупателем соответствующего требования."
"АО ""Глория Джинс""",6.5.,"6.5. Покупатель не вправе отказаться от Товара надлежащего качества, имеющего индивидуально определённые свойства, если указанный Товар может быть использован исключительно приобретающим его Покупателем в соответствии с перечнем непродовольственных товаров надлежащего качества, не подлежащих возврату или обмену на аналогичный Товар другого размера, формы, габарита, фасона, расцветки или комплектации, утверждённого Постановлением Правительства РФ от 19 января 1998 г. N 55."
"АО ""Глория Джинс""",#N/A,
"АО ""Глория Джинс""",7.,7. Конфиденциальность и защита информации
"АО ""Глория Джинс""",7.1.,"7.1. Персональные данные Пользователя/Покупателя обрабатываются в соответствии с Федеральным законом от 27.07.2006 № 152-ФЗ «О персональных данных», Федеральным законом от 27.07.2006 № 149-ФЗ «Об информации, информационных технологиях и о защите информации» и собственными Правилами пользования сайтом и обработки персональных данных."
"АО ""Глория Джинс""",7.2.,"7.2. При регистрации на Сайте Пользователь предоставляет следующую информацию: имя, контактный мобильный номер телефона и адрес электронной почты, адрес доставки Заказа. Дополнительные или предлагаемые к заполнению данные о себе Пользователь предоставляет на своё усмотрение."
"АО ""Глория Джинс""",7.3.,"7.3. Покупатель добровольно и осознанно представляет данные при оформлении Заказа в Интернет-магазине как необходимую информацию для исполнения Продавцом Заказа Покупателя. Продавец, осуществляющий по мере необходимости обработку персональных данных Покупателей, принял достаточные организационные и технические меры для защиты персональных данных от неправомерного или случайного доступа к ним или их уничтожения, изменения, блокирования, копирования, распространения, а также от иных неправомерных действий."
"АО ""Глория Джинс""",7.4.,"7.4. Предоставляя свои персональные данные Продавцу, Пользователь/Покупатель соглашается на их обработку Продавцом, в том числе в целях выполнения Продавцом обязательств перед Пользователем/Покупателем в рамках настоящей Публичной оферты и Правил пользования сайтом и обработки персональных данных ."
"АО ""Глория Джинс""",7.5.,7.5. Продавец вправе использовать технологию «cookies». «Cookies» не содержит конфиденциальную информацию и не передаётся третьим лицам.
"АО ""Глория Джинс""",7.6.,7.6. Продавец получает информацию об ip-адресе Пользователя Сайта. Данная информация не используется для установления личности посетителя и не передаётся третьим лицам.
"АО ""Глория Джинс""",7.7.,7.7. Продавец вправе осуществлять записи телефонных переговоров с Покупателем.
"АО ""Глория Джинс""",7.8.,"7.8. В соответствии с п. 4 ст. 16 Федерального закона «Об информации, информационных технологиях и о защите информации», Продавец обязуется предотвращать попытки несанкционированного доступа к информации и/или передачу её лицам, не имеющим непосредственного отношения к исполнению Заказов, своевременно обнаруживать и пресекать такие факты."
"АО ""Глория Джинс""",#N/A,
"АО ""Глория Джинс""",8.,8. Срок действия Публичной оферты
"АО ""Глория Джинс""",8.1.,8.1. Настоящая Публичная оферта вступает в силу с момента её акцепта Покупателем и действует до момента исполнения Покупателем и Продавцом своих обязательств в рамках Публичной оферты.
"АО ""Глория Джинс""",#N/A,
"АО ""Глория Джинс""",9.,9. Дополнительные условия
"АО ""Глория Джинс""",9.1.,"9.1. Продавец вправе переуступать либо каким-либо иным способом передавать свои права и обязанности, вытекающие из его отношений с Покупателем, третьим лицам."
"АО ""Глория Джинс""",9.2.,9.2. Интернет-магазин и предоставляемые сервисы могут временно частично или полностью недоступны по причине проведения профилактических или иных работ или по любым другим причинам технического характера с предварительным уведомлением Пользователей или без такового.
"АО ""Глория Джинс""",9.3.,9.3. К отношениям между Пользователем/Покупателем и Продавцом применяется законодательство Российской Федерации.
"АО ""Глория Джинс""",9.4.,"9.4. При возникновения вопросов и претензий у Пользователя / Покупателя, он должен обратиться к Продавцу одним из способов:"
"АО ""Глория Джинс""",9.4.1.,"9.4.1. Отправить бумажное письмо по адресу: 344090, Россия, г. Ростов-на-Дону, пр. Стачки, 184."
"АО ""Глория Джинс""",9.4.2.,9.4.2. Отправить электронное письмо по адресу: help@gloria-jeans.ru.
"АО ""Глория Джинс""",9.4.3.,9.4.3. Совершить звонок по телефону: 8 (800) 500-82-82.
"АО ""Глория Джинс""",9.5.,"9.5. Все возникающие споры стороны будут стараться решить путём переговоров, при недостижении соглашения спор будет закрыт в одностороннем порядке."
"АО ""Глория Джинс""",9.6.,9.6. Признание судом недействительности какого-либо положения настоящего соглашения не влечёт за собой недействительность остальных положений.
"""Котофей"" ИП Савёлов Андрей Александрович",1.,1.Общие положения
"""Котофей"" ИП Савёлов Андрей Александрович",1.1.,"1.1. ИП Савёлов Андрей Александрович, далее «Продавец», публикует Публичную оферту о продаже товаров по образцам, представленным на интернет-сайте Продавца https://kotofey.ru"
"""Котофей"" ИП Савёлов Андрей Александрович",1.2.,"1.2. Информация, размещённая на Сайте Интернет-магазина, содержит условия предложения покупки товара и представляет собой публичную оферту согласно статье 437 Гражданского кодекса РФ."
"""Котофей"" ИП Савёлов Андрей Александрович",1.3.,"1.3. При оформлении заказа Покупатель соглашается с условиями, оговоренными настоящим Договором. Оформление заказа означает согласие со всеми пунктами настоящей оферты. В случае несогласия с каким-либо пунктом оферты, необходимо отказаться от покупки Товаров или использования Услуг, предоставляемых Продавцом."
"""Котофей"" ИП Савёлов Андрей Александрович",1.4.,"1.4. В настоящей оферте, если контекст не требует иного, нижеприведенные термины имеют следующие значения:
Оферта – публичное предложение Продавца, адресованное любому физическому лицу (гражданину), заключить с ним договор купли-продажи (далее – «Договор») на существующих условиях, содержащихся в Договоре, включая все его приложения;
Покупатель – физическое лицо, заключившее с Продавцом Договор на условиях, содержащихся в Договоре;
Интернет-магазин – интернет-магазин, расположенный по адресу http://kotofey.ru. Интернет-магазин представляет Покупателю возможность поиска и заказа товара посредством сайта, а также услуги по Доставке. На сайте Интернет-магазина представлен каталог товаров с ценами, на основе которого Покупатель может сформировать Заказ или Резерв товара, добавив товар в корзину и указав желаемые способы получения Товара.
Розничный магазин – магазин, осуществляющий розничную торговлю и представляющий информацию о своем ассортименте для сайта Интернет-магазина, с тем, чтобы Покупатель мог ознакомиться с наличием товара в конкретном магазине и оформить Резерв товара для последующего его выкупа в конкретном магазине. Адреса и режим работы Розничных магазинов представлены в разделе Доставка / Магазины .
Акцепт – полное и безоговорочное принятие Покупателем условий Договора. Возникает в момент оформления Заказа или Резерва товара.
Товар – перечень наименований ассортимента, представленный на интернет-сайте.
Заказ – отдельные позиции из ассортиментного перечня Товара, указанные Покупателем как желаемые к приобретению посредством доставки из Интернет-магазина;
Резерв товара - отдельные позиции из ассортиментного перечня Товара, указанные Покупателем как желаемые к приобретению в Розничном магазине.
Доставка – услуги по доставке Заказа из Интернет-магазина."
"""Котофей"" ИП Савёлов Андрей Александрович",1.5.,"1.5. Принятие Покупателем условий настоящего Договора осуществляется посредством внесения Покупателем соответствующих данных в регистрационную форму или форму Заказа / Резерва товара на Интернет-сайте или при оформлении Заказа / Резерва товара через контакт-центр. Покупатель имеет право редактировать данную информацию самостоятельно или с помощью Продавца. Продавец обязуется не сообщать данные Покупателя, указанные при регистрации на сайте http://kotofey.ru и при оформлении Заказа, лицам, не имеющим отношения к исполнению Договора. Утвердив Заказ выбранного Товара, Покупатель предоставляет Продавцу необходимую информацию в соответствии с порядком, указанном в п. 3.2. настоящего Договора."
"""Котофей"" ИП Савёлов Андрей Александрович",#N/A,
"""Котофей"" ИП Савёлов Андрей Александрович",2.,2. Предмет договора и цена Товара
"""Котофей"" ИП Савёлов Андрей Александрович",2.1.,"2.1. Продавец продает Товар в соответствии с ценами, опубликованными на интернет-сайте Продавца http://kotofey.ru, а Покупатель производит оплату и принимает Товар в соответствии с условиями настоящего Договора."
"""Котофей"" ИП Савёлов Андрей Александрович",2.2.,2.2. Цены на Товар определяются Продавцом в одностороннем бесспорном порядке и указываются на страницах Интернет-магазина.
"""Котофей"" ИП Савёлов Андрей Александрович",2.3.,2.3. Цена товара указывается в очках и копейках и не облагается НДС на основании статьи 346.11 главы 26.2 НК РФ (применение Продавцом Упрощенной системы налогообложения).
"""Котофей"" ИП Савёлов Андрей Александрович",2.4.,2.4. Настоящий Договор и приложения к нему являются официальными документами Продавца и неотъемлемой частью оферты.
"""Котофей"" ИП Савёлов Андрей Александрович",2.5.,"2.5. Все информационные материалы касательно Товара, представленные на сайте https://kotofey.ru, носят справочный характер и не могут в полной мере передавать достоверную информацию об определенных свойствах и характеристиках Товара. В случае возникновения у Покупателя вопросов, касающихся свойств и характеристик Товара, перед оформлением Заказа ему необходимо обратиться за консультацией к Продавцу."
