№ п/п,Положение нормативно-правового акта (НПА),Оригинальная формулировка НПА,Конечная нотация для использования,Приведенная нотация,альтернативный варинат | комментарии,
11,Ст. 19 Закона о защите прав потребителей,"1. Потребитель вправе предъявить предусмотренные статьей 18 настоящего Закона требования к продавцу (изготовителю, уполномоченной организации или уполномоченному индивидуальному предпринимателю, импортеру) в отношении недостатков товара, если они обнаружены в течение гарантийного срока или срока годности. В отношении товаров, на которые гарантийные сроки или сроки годности не установлены, потребитель вправе предъявить указанные требования, если недостатки товаров обнаружены в разумный срок, но в пределах двух лет со дня передачи их потребителю, если более длительные сроки не установлены законом или договором.

2. Гарантийный срок товара, а также срок его службы исчисляется со дня передачи товара потребителю, если иное не предусмотрено договором. Если день передачи установить невозможно, эти сроки исчисляются со дня изготовления товара.Для сезонных товаров (обуви, одежды и прочих) эти сроки исчисляются с момента наступления соответствующего сезона, срок наступления которого определяется соответственно субъектами Российской Федерации исходя из климатических условий места нахождения потребителей.
.3. Гарантийные сроки могут устанавливаться на комплектующие изделия и составные части основного товара. Гарантийные сроки на комплектующие изделия и составные части исчисляются в том же порядке, что и гарантийный срок на основной товар.Гарантийные сроки на комплектующие изделия и составные части товара считаются равными гарантийному сроку на основное изделие, если иное не установлено договором. В случае, если на комплектующее изделие и составную часть товара в договоре установлен гарантийный срок меньшей продолжительности, чем гарантийный срок на основное изделие, потребитель вправе предъявить требования, связанные с недостатками комплектующего изделия и составной части товара, при их обнаружении в течение гарантийного срока на основное изделие, если иное не предусмотрено договором.Если на комплектующее изделие установлен гарантийный срок большей продолжительности, чем гарантийный срок на основной товар, потребитель вправе предъявить требования в отношении недостатков товара при условии, что недостатки комплектующего изделия обнаружены в течение гарантийного срока на это изделие, независимо от истечения гарантийного срока на основной товар.



","Потребитель может предъявить требования к продавцу, если обнаружит недостатки товара в течение гарантийного срока или срока годности.

Гарантийный срок и срок годности начинаются:

со дня передачи товара потребителю;
со дня изготовления товара, если день передачи установить невозможно;
с момента наступления соответствующего сезона для сезонных товаров.
Гарантийный срок товара может быть установлен на комплектующие изделия и составные части основного товара.

Гарантийный срок на комплектующие изделия считается равным гарантийному сроку на основное изделие, если иное не установлено договором.","1.Сроки предъявления требований, связанных с недостатками товаров: в течение гарантийного срока или срока годности. Гарантийные сроки или сроки годности не установлены: в разумный срок, но в пределах двух лет со дня передачи товара потребителю, если более длительные сроки не установлены законом или договором.
2. Сроки исчисляются со дня доставки товара потребителю. Если потребитель лишен возможности использовать товар вследствие обстоятельств, зависящих от продавца, гарантийный срок не течет до устранения продавцом таких обстоятельств. Если день доставки, установки, подключения, сборки товара, устранения зависящих от продавца обстоятельств, вследствие которых потребитель не может использовать товар по назначению, определить невозможно, -со дня заключения договора купли-продажи.

3. Гарантийные сроки на комплектующие изделия и составные части исчисляются в том же порядке, что и гарантийный срок на основной товар. Гарантийные сроки на комплектующие изделия и составные части товара считаются равными гарантийному сроку на основное изделие, если иное не установлено договором. В случае, если на комплектующее изделие и составную часть товара в договоре установлен гарантийный срок меньшей продолжительности, чем гарантийный срок на основное изделие, потребитель вправе предъявить требования, связанные с недостатками комплектующего изделия и составной части товара, при их обнаружении в течение гарантийного срока на основное изделие, если иное не предусмотрено договором.

4. Если на комплектующее изделие установлен гарантийный срок большей продолжительности, чем гарантийный срок на основной товар, потребитель вправе предъявить требования в отношении недостатков товара при условии, что недостатки комплектующего изделия обнаружены в течение гарантийного срока на это изделие, независимо от истечения гарантийного срока на основной товар.

","Оферта должна информировать Покупателя о его праве предъявлять требования по поводу товара Продавцу в рамках гарантийных сроков для приобретенного товара, об условиях переноса и продления данных сроков, условиях установления сроков, если по какой то причине они не могут быть установлены офертой, а так же содержать гарантийные сроки на отдельные части составного товара и комплектующие.",
12,Ч.1 Ст.21 Закона о защите прав потребителей,"В случае обнаружения потребителем недостатков товара и предъявления требования о его замене продавец (изготовитель, уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер) обязан заменить такой товар в течение семи дней со дня предъявления указанного требования потребителем, а при необходимости дополнительной проверки качества такого товара продавцом (изготовителем, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) - в течение двадцати дней со дня предъявления указанного требования.
Если у продавца (изготовителя, уполномоченной организации или уполномоченного индивидуального предпринимателя, импортера) в момент предъявления требования отсутствует необходимый для замены товар, замена должна быть проведена в течение месяца со дня предъявления такого требования.","Оферта должна содержать право Покупателя на замену товара при обнаружении недостатков, сроки и механизм такой замены, порядок инициации и проведения экспертизы возникшего недостатка, указывать на условия определяющие сторону понесущую расходы по обеспечению экспертизы и иные расходы по замене товара. По закону и независимо от укзанного в оферте условия срок замены товара ненадлежащего качества - 7 дней со дня предъявления требования, при проведении проверки – 20 дней.
При отсутствии товара - месяц. ","По закону и независимо от укзанного в оферте условия срок замены товара ненадлежащего качества - 7 дней со дня предъявления требования, при проведении проверки – 20 дней.
При отсутствии товара - месяц. ",,
13,Ст. 20 Закона о защите прав потребителей,"Если срок устранения недостатков товара не определен в письменной форме соглашением сторон, эти недостатки должны быть устранены изготовителем (продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) незамедлительно, то есть в минимальный срок, объективно необходимый для их устранения с учетом обычно применяемого способа. Срок устранения недостатков товара, определяемый в письменной форме соглашением сторон, не может превышать сорок пять дней.
В случае, если во время устранения недостатков товара станет очевидным, что они не будут устранены в определенный соглашением сторон срок, стороны могут заключить соглашение о новом сроке устранения недостатков, товара. При этом отсутствие необходимых для устранения недостатков товара запасных частей (деталей, материалов), оборудования или подобные причины не являются основанием для заключения соглашения о таком новом сроке и не освобождают от ответственности за нарушение срока, определенного соглашением сторон первоначально.","Оферта должна содержать сроки устранения Продавцом недостатков товара не превышающие 45 дней. А так же предупреждать, что в случаях, когда устранить недостатки или заменить товар или комплектующие невозможно Продавец не освобождается от отвественности и обязанностей перед Покупателем.","Оферта должна содержать срок устранения недостатков - не более 45 дней.
 В случае невозможности устранить недостатки или заменить товар или комплектующие Продавец не освобождается от отвественности и обязанностей перед Покупателем.",,
14,Ч.2 ст. 21 Закона о защите прав потребителей,"Товар ненадлежащего качества должен быть заменен на новый товар, то есть на товар, не бывший в употреблении.
При замене товара гарантийный срок исчисляется заново со дня передачи товара потребителю","Оферта должна информировать Покупателя о том, что товар новый и не бывший в употреблении,а так же разъяснять, что гарантийные сроки после замены товара или устраенения недостатка исчисляются заново с момента передачи товара.","Оферта должна содержать информацию, что товар новый.
Оферта  должна содержать положением о том, что Гарантийные сроки  после замены товара или устраенения недостатка исчисляются заново с момента передачи товара",,
15,Ст.22 Закона о защите прав потребителей,"Требования потребителя о соразмерном уменьшении покупной цены товара, возмещении расходов на исправление недостатков товара потребителем или третьим лицом, возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков, причиненных потребителю вследствие продажи товара ненадлежащего качества либо предоставления ненадлежащей информации о товаре, подлежат удовлетворению продавцом (изготовителем, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) в течение десяти дней со дня предъявления соответствующего требования.","Оферта может сожержать сроки удовлетворения требований Покупателя об уменьшении покупной цены товара, возмещении расходов на исправление недостатков товара, возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков, которые должны быть удовлетворены в тетчении 10 дней с момента предъявления такого требования.","Оферта может сожержать сроки удовлетворения требований потребителя об уменьшении покупной цены товара, возмещении расходов на исправление недостатков товара, возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков - 10 дней с момента предъявления такого требования.",,
16,П.1 ст. 23 Закона о защите прав потребителей,"1. За нарушение предусмотренных статьями 20, 21 и 22 настоящего Закона сроков, а также за невыполнение (задержку выполнения) требования потребителя о предоставлении ему на период ремонта (замены) аналогичного товара продавец (изготовитель, уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер), допустивший такие нарушения, уплачивает потребителю за каждый день просрочки неустойку (пеню) в размере одного процента цены товара.","Оферта может содержать упоминания об ответсвенности Продавца в виде неустойке и пени в размере 1% за каждый день при нарушении сроков устранения недостатков товара, сроков замены товара, сроков предоставления аналогичного товара во временное пользование на время ремонта или замены товара, уменьшения покупной цены, а так же за отказ в удовлетворении или задержку выполнения требований Покупателя.","Оферта может содержать упоминания об неустойке при нарушении сроков устранения недостатков товара, сроков замены товара, уменьшения покупной цены,  за невыполнение (задержку выполнения) требования потребителя о предоставлении ему на период ремонта (замены) аналогичного товара пени/неустойка  в размере 1% от цены товара за день.",,
17,Ст. 24 Закона о защите прав потребителей,"1. При замене товара ненадлежащего качества на товар этой же марки (этих же модели и (или) артикула) перерасчет цены товара не производится.2. При замене товара ненадлежащего качества на такой же товар другой марки (модели, артикула) в случае, если цена товара, подлежащего замене, ниже цены товара, предоставленного взамен, потребитель должен доплатить разницу в ценах; в случае, если цена товара, подлежащего замене, выше цены товара, предоставленного взамен, разница в ценах выплачивается потребителю. Цена товара, подлежащего замене, определяется на момент его замены, а если требование потребителя не удовлетворено продавцом, цена заменяемого товара и цена передаваемого взамен товара определяются на момент вынесения судом решения о замене товара.
3. В случае предъявления потребителем требования о соразмерном уменьшении покупной цены товара в расчет принимается цена товара на момент предъявления потребителем требования об уценке или, если оно добровольно не удовлетворено, на момент вынесения судом решения о соразмерном уменьшении покупной цены.4. При возврате товара ненадлежащего качества потребитель вправе требовать возмещения разницы между ценой товара, установленной договором, и ценой соответствующего товара на момент добровольного удовлетворения такого требования или, если требование добровольно не удовлетворено, на момент вынесения судом решения.
5. В случае возврата товара ненадлежащего качества, проданного в кредит, потребителю возвращается уплаченная за товар денежная сумма в размере погашенного ко дню возврата указанного товара кредита, а также возмещается плата за предоставление кредита.6. В случае возврата товара ненадлежащего качества, приобретенного потребителем за счет потребительского кредита (займа), продавец обязан возвратить потребителю уплаченную за товар денежную сумму, а также возместить уплаченные потребителем проценты и иные платежи по договору потребительского кредита (займа).


","Оферта должна содержать право Покупателя требовать обмена товара ненадлежащего качества, производства перерасчета при разнице стоимости этих товаров, а так же  информировать о порядоке оплаты, замены товаров приобретенных в кредит, об условиях расчетов в случае признания товара некачественным. 




","Оферта должна содержать положение об обмене товара ненадлежащего качества и порядок расчетов при разнице стоимости:
При обмене товара ненадлежащего качества на подобный - перерасчет не производится. При замене на товар другой марки или другой модели или который дороже/дешевле – разница в стоимости устраняется путем доплаты или возврата средств. Цена рассчитывается на момент замены.
Оферта содержит право Покупателя требовать разницу между ценой покупки и ценой на момент удовлетворения требования.


Если оферта подразумевает возможность оплаты товара в кредит, оферта должна содержать порядок возврата такого товара, (в случае признания некачественным), порядок расчетов и определеять Продавца, как сторону несущую расходы по предоставлению кредита Покупателю.

",,
18,Ст.25 закона о защите прав потребителей,"1. Потребитель вправе обменять непродовольственный товар надлежащего качества на аналогичный товар у продавца, у которого этот товар был приобретен, если указанный товар не подошел по форме, габаритам, фасону, расцветке, размеру или комплектации. 2.Потребитель имеет право на обмен непродовольственного товара надлежащего качества в течение четырнадцати дней, не считая дня его покупки. 
4.Отсутствие у потребителя товарного чека или кассового чека либо иного подтверждающего оплату товара документа не лишает его возможности ссылаться на свидетельские показания.
6.Перечень товаров, не подлежащих обмену по основаниям, указанным в настоящей статье, утверждается Правительством Российской Федерации.
5.В случае, если аналогичный товар отсутствует в продаже на день обращения потребителя к продавцу, потребитель вправе отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за указанный товар денежной суммы. Требование потребителя о возврате уплаченной за указанный товар денежной суммы подлежит удовлетворению в течение трех дней со дня возврата указанного товара.","Оферта должна содожержать положение об отнесении товара к категории  - возвратный/невозвратный.
Оферта должна содержать сроки обмена товара надлежащего качества в связи с неподхождением по критериями и кратко эти критерии.

Оферта должна содержать требования, предъявляемые к товару и его состоянию на момент возврата. 
Оферта может, но не обязана сожержать пути разрешения ситуаций, возникающих в ходе обмена товара. - в данном случае лучше всего указать в оферте отссылку к законодательству и сформулировать ее так: ""В случае возникновения иных споров, порядок разрешения которых не предусмотрен в данной Оферте, руководствоваться законодательством РФ."" или иной формулировкой БЕЗ искажения смысла. ","Оферта должна содожержать положение об отнесении товара к категории  - возвратный/невозвратный.
Оферта должна содержать сроки обмена товара надлежащего качества в связи с неподхождением по критериями и кратко эти критерии.

Оферта должна содержать требования, предъявляемые к товару и его состоянию на момент возврата. 
Оферта может, но не обязана сожержать пути разрешения ситуаций, возникающих в ходе обмена товара. - в данном случае лучше всего указать в оферте отссылку к законодательству и сформулировать ее так: ""В случае возникновения иных споров, порядок разрешения которых не предусмотрен в данной Оферте, руководствоваться законодательством РФ."" или иной формулировкой БЕЗ искажения смысла. ",,
19,"ст. 14 Правила продажи товаров при дистанционном способе продажи товара по договору розничной купли-продажи
","При дистанционном способе продажи товара с использованием информационно-телекоммуникационной сети ""Интернет"" (далее - сеть ""Интернет"") и (или) программы для электронных вычислительных машин продавец предоставляет потребителю подтверждение заключения договора розничной купли-продажи на условиях оферты, которая содержит существенные условия этого договора, после получения продавцом сообщения потребителя о намерении заключить договор розничной купли-продажи.
","Оферта должна информировать Стороны договора в полной мере и содержать исчерпывающую информацию о товаре, в ходе приобретения которого возникают отношения между ними.                        ","Оферта должна содержать полную исчерпывающую  информацию о товаре, в ходе приобретения которого возникают отношения суъбектов договора.                        ",,
20,"ГК РФ Статья 438. Акцепт,  ФЗ ""О рекламе""","Если в соответствии с Гражданским кодексом Российской Федерации реклама признается офертой, такая оферта действует в течение двух месяцев со дня распространения рекламы при условии, что в ней не указан иной срок.   Когда в оферте определен срок для акцепта, договор считается заключенным, если акцепт получен лицом, направившим оферту, в пределах указанного в ней срока.


Когда в оферте определен срок для акцепта, договор считается заключенным, если акцепт получен лицом, направившим оферту, в пределах указанного в ней срока.
","Оферта должна информировать Стороны договора о сроках действия этой оферты, то есть с момента возникновения правовых отношений между субъектами, в связи с присоединением к договору до момента их прекращения. В случае, если оферта не определяет сроки действиях этой оферты, то ее сроки определяет законодательство в пределах 2 месяцев.","Оферта должна содержать сроки действия оферты, то есть с момента возникновения правовых отношений до момента их прекращения. ",,
21,"ФЗ ""О персональных данных"",  ст.7., ст. 6.
","Операторы и иные лица, получившие доступ к персональным данным, обязаны не раскрывать третьим лицам и не распространять персональные данные без согласия субъекта персональных данных, если иное не предусмотрено федеральным законом.   Обработка персональных данных должна осуществляться с соблюдением принципов и правил, предусмотренных настоящим Федеральным законом. 

Обработка персональных данных допускается в следующих случаях - обработка персональных данных осуществляется с согласия субъекта персональных данных на обработку его персональных данных;
","Оферта должна предупреждать Покупателя об обязанности Продавца сохранять конфиденциальность персональных данных, о нераглашении их третьим лицам, о возможности их хранения и защиты с согласия их владельца.","Оферта должна содержать положения о конфиденциальности персональных данных, о нераглашении их третьим лицам, об их хранении и защите с согласия владельца.",,
22,"ФЗ ""О защите информации""","Положения оферты не должны противоречить положениям закона, тк. отношения, возникающие на почве купли-продажи и отраженные в оферте подпадают под сферу регуляции данного закона.","Оферта не должна содержать положения противоречащие положениям закона. Любая информация, созданная, размещенная в сети Интернет или переданная Сторонами друг другу в ходе договорных отношений должна быть защищена, согласно положениям закона. ","Оферта не должна содержать положения, несопоставимые с положениями закона",,
